track_name,artist,album,genres,popularity,explicit,cover_url
The Hand That Feeds,Nine Inch Nails,With Teeth,"industrial metal, industrial rock, alternative metal, grunge, electronic rock, alternative rock, industrial, post-grunge, cyberpunk, rock, nu metal",61,False,https://i.scdn.co/image/ab67616d0000b273f489b4582e496de8f71e88da
100,Dean Blunt,BLACK METAL,"hypnagogic pop, collage pop, uk experimental electronic",65,False,https://i.scdn.co/image/ab67616d0000b2733c2ee58d5337713f62377a7e
The Look,Metronomy,The English Riviera,"indietronica, alternative dance, socal pop punk, neo-synthpop, french indie pop, electronica, new rave",72,False,https://i.scdn.co/image/ab67616d0000b2738ca7d89456553e4bbbf3c981
QKThr,Aphex Twin,Drukqs,"ambient, intelligent dance music, uk experimental electronic, electronica, braindance",66,False,https://i.scdn.co/image/ab67616d0000b2732e261a0b1b19d0ff95e346b3
Teardrop,"Massive Attack, Elizabeth Fraser",Mezzanine,"downtempo, trip hop, electronica, scottish indie, ethereal wave",70,False,https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e
D.A.N.C.E,Justice,Justice,"indietronica, alternative dance, filter house, dance-punk, electronica, new rave",65,False,https://i.scdn.co/image/ab67616d0000b2731c0bcf8b536295438d26c70d
High You Are (Branchez Remix),"What So Not, Branchez",High You Are (Remixes),"vapor twitch, aussietronica, escape room, electro house, brostep, electronic trap, edm",59,False,https://i.scdn.co/image/ab67616d0000b2732c9a82989cbb3deb021a7297
Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",Carte Blanche,"dance pop, trap latino, pop dance, reggaeton colombiano, urbano latino, rap, pop rap, pop, southern hip hop, reggaeton, hip hop, electronic trap, trap, edm",71,False,https://i.scdn.co/image/ab67616d0000b273caf82abb2338880577e472be
One Three Nine,"Zeds Dead, Scrufizzer",One Three Nine,"dubstep, electro house, grime, brostep, progressive electro house, edm, canadian electronic",60,False,https://i.scdn.co/image/ab67616d0000b273dc1175c18080e7df2975e875
UCLA,"RL Grime, 24hrs",NOVA,"atl trap, trap soul, electro house, brostep, electronic trap, edm",59,True,https://i.scdn.co/image/ab67616d0000b273798f315e011d4ada702ce9bb
Head Like A Hole,Nine Inch Nails,Pretty Hate Machine,"industrial metal, industrial rock, alternative metal, grunge, electronic rock, alternative rock, industrial, post-grunge, cyberpunk, rock, nu metal",59,False,https://i.scdn.co/image/ab67616d0000b2739764c0993e45db213f0e359f
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",Carte Blanche,"dance pop, trap latino, pop dance, urbano latino, rap, puerto rican pop, pop, post-teen pop, reggaeton, electronic trap, edm",71,True,https://i.scdn.co/image/ab67616d0000b273caf82abb2338880577e472be
Rockin' Around The Christmas Tree,Brenda Lee,Merry Christmas From Brenda Lee,"adult standards, easy listening, lounge, rockabilly",94,False,https://i.scdn.co/image/ab67616d0000b2737845f74d6db14b400fa61cd3
Last Christmas,Wham!,LAST CHRISTMAS,"new wave, soft rock, new wave pop, new romantic",94,False,https://i.scdn.co/image/ab67616d0000b273f2d2adaa21ad616df6241e7d
Sleigh Ride,The Ronettes,A Christmas Gift For You From Phil Spector,"motown, classic girl group, rock-and-roll, brill building pop",88,False,https://i.scdn.co/image/ab67616d0000b273adad4220d51bd720481d4be4
Run Rudolph Run,Chuck Berry,Rock 'N' Roll Rarities,"blues rock, soul, rockabilly, rock, classic rock, rock-and-roll, blues",86,False,https://i.scdn.co/image/ab67616d0000b27339807cff601735a3dec9e24c
Sweater Weather,The Neighbourhood,I Love You.,"pop, modern rock, modern alternative rock",89,False,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
Blue Christmas,Elvis Presley,Elvis' Christmas Album,"rockabilly, rock-and-roll",86,False,https://i.scdn.co/image/ab67616d0000b273aa509be2dd24fb6c753cf292
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,McCartney II (Special Edition),"classic rock, mellow gold, soft rock, rock",88,False,https://i.scdn.co/image/ab67616d0000b2733cef016d13d82873d45af84a
Please Come Home for Christmas - 2013 Remaster,Eagles,Please Come Home for Christmas / Funky New Year (2013 Remaster),"soft rock, heartland rock, rock, classic rock, yacht rock, mellow gold, album rock",84,False,https://i.scdn.co/image/ab67616d0000b2736d4362a2b2e39422000f8ed3
505,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),"sheffield indie, permanent wave, garage rock, rock, modern rock",79,False,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90
Mr. Brightside,The Killers,Hot Fuss,"permanent wave, dance rock, alternative rock, rock, modern rock",85,False,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","J. Fred Coots, Bruce Springsteen","Santa Claus Is Comin' to Town (Live at C.W. Post College, Greenvale, NY - December 1975)","permanent wave, heartland rock, rock, mellow gold, singer-songwriter, tin pan alley",84,False,https://i.scdn.co/image/ab67616d0000b2736a68798b2ac41fde44823eb5
Little Saint Nick - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,"psychedelic rock, rock, baroque pop, classic rock, mellow gold, singer-songwriter, folk rock, sunshine pop",83,False,https://i.scdn.co/image/ab67616d0000b27308c270b3ef1602ff84ed2c05
Take Me to Church,Hozier,Hozier (Expanded Edition),"pop, modern rock, irish singer-songwriter, pov: indie",79,False,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",Signature Box,"classic rock, experimental, experimental pop, rock",88,False,https://i.scdn.co/image/ab67616d0000b27361a389971d7842d02b0623ab
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),"soft rock, rock, classic rock, yacht rock, album rock",84,False,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b
I Wanna Be Yours,Arctic Monkeys,AM,"sheffield indie, permanent wave, garage rock, rock, modern rock",90,False,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
Too Sweet,Hozier,Unreal Unearth: Unaired,"pop, modern rock, irish singer-songwriter, pov: indie",79,False,https://i.scdn.co/image/ab67616d0000b2735aa29751874ca4ba06da8877
Iris,The Goo Goo Dolls,Dizzy up the Girl,"post-grunge, permanent wave, neo mellow, pop rock",87,False,https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca
Cigarette Daydreams,Cage The Elephant,Melophobia,"modern alternative rock, rock, pov: indie, modern rock, punk blues",78,False,https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12
Step Into Christmas - Remastered 1995,Elton John,Caribou (Remastered 1995),"glam rock, rock, mellow gold, piano rock",84,False,https://i.scdn.co/image/ab67616d0000b27368f5959744717483eed212b2
Creep,Radiohead,Pablo Honey,"permanent wave, oxford indie, alternative rock, rock, art rock, melancholia",85,True,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95
Riptide,Vance Joy,Dream Your Life Away (Deluxe Edition),"folk-pop, modern rock",84,False,https://i.scdn.co/image/ab67616d0000b2737cffb8896928039a0a10e4e7
Evergreen,Richy Mitch & The Coal Miners,RMCM,modern folk rock,84,False,https://i.scdn.co/image/ab67616d0000b2731cc17bae5ee17cce117e198a
Work Song,Hozier,Hozier (Expanded Edition),"pop, modern rock, irish singer-songwriter, pov: indie",77,False,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2
One Last Breath,Creed,Weathered,"post-grunge, rock, nu metal, alternative metal",80,False,https://i.scdn.co/image/ab67616d0000b273a32f2ae4dade83e0d7a294f4
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",Zach Bryan,"contemporary country, country dawn, classic oklahoma country, classic texas country",85,False,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef
Something in the Orange,Zach Bryan,Something in the Orange,classic oklahoma country,84,False,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb
Pink Skies,Zach Bryan,Pink Skies,classic oklahoma country,84,False,https://i.scdn.co/image/ab67616d0000b2731a2c9ac2d39bc5c2e22b9555
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",One Thing At A Time,"contemporary country, modern country pop",82,False,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
Heading South,Zach Bryan,Heading South,classic oklahoma country,82,True,https://i.scdn.co/image/ab67616d0000b273f9017bcd001d030d46850226
Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,Rudolph The Red Nosed Reindeer And Other Christmas Classics,"yodeling, cowboy western, classic oklahoma country, traditional country",83,False,https://i.scdn.co/image/ab67616d0000b27335e9a6f6a1eded2062526499
Lies Lies Lies,Morgan Wallen,Lies Lies Lies,contemporary country,80,False,https://i.scdn.co/image/ab67616d0000b27337eedb840f9441959db3107e
I Never Lie,Zach Top,Cold Beer & Country Music,modern country pop,79,False,https://i.scdn.co/image/ab67616d0000b273e60cfb182df9bf24b4713edd
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),"country, contemporary country",82,False,https://i.scdn.co/image/ab67616d0000b27339808230102049beb62fdd7b
Thinkin’ Bout Me,Morgan Wallen,One Thing At A Time,contemporary country,80,False,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
Sun to Me,Zach Bryan,American Heartbreak,classic oklahoma country,80,False,https://i.scdn.co/image/ab67616d0000b273ba30859a1ca79c5a372d177a
When It Rains It Pours,Luke Combs,This One's for You,"country, contemporary country",81,False,https://i.scdn.co/image/ab67616d0000b273b7578013decfa174e30dc298
Wind Up Missin’ You,Tucker Wetmore,Waves On A Sunset,modern country pop,79,True,https://i.scdn.co/image/ab67616d0000b273201038e1f96d823bbe379336
Beautiful Crazy,Luke Combs,This One's for You Too (Deluxe Edition),"country, contemporary country",80,False,https://i.scdn.co/image/ab67616d0000b273ccba76fad1c624c09e72bc78
You Should Probably Leave,Chris Stapleton,Starting Over,"outlaw country, contemporary country",80,False,https://i.scdn.co/image/ab67616d0000b2739408342067e2ff50d69a3c98
Fast Car,Luke Combs,Gettin' Old,"country, contemporary country",82,False,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1
Tennessee Whiskey,Chris Stapleton,Traveller,"outlaw country, contemporary country",81,False,https://i.scdn.co/image/ab67616d0000b273540fc1d083eac5bcff8dad21
Wasted On You,Morgan Wallen,Dangerous: The Double Album,contemporary country,78,False,https://i.scdn.co/image/ab67616d0000b2737d6813fd233f3bc4977cceca
You Proof,Morgan Wallen,One Thing At A Time,contemporary country,78,False,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
Rock and A Hard Place,Bailey Zimmerman,Religiously. The Album.,"contemporary country, modern country pop",78,False,https://i.scdn.co/image/ab67616d0000b2730c5d03daf39f254bb546cf3a
Last Night,Morgan Wallen,One Thing At A Time,contemporary country,79,True,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
"Burn, Burn, Burn",Zach Bryan,"Burn, Burn, Burn",classic oklahoma country,78,False,https://i.scdn.co/image/ab67616d0000b273d66d5ec15dc03aa57b78f5ff
Devil You Know,Tyler Braden,Devil You Know,modern country pop,79,False,https://i.scdn.co/image/ab67616d0000b273ed2e13cb8cb02443ce91d8a4
Porch Light,Josh Meloy,Porch Light,"oklahoma country, classic oklahoma country, modern country pop, texas country",78,True,https://i.scdn.co/image/ab67616d0000b2739e917e93a50b83029871627c
28,Zach Bryan,The Great American Bar Scene,classic oklahoma country,79,False,https://i.scdn.co/image/ab67616d0000b273647ad18a07e9e939e399e5a1
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,A Winter Romance,"adult standards, easy listening, lounge, vocal jazz",91,False,https://i.scdn.co/image/ab67616d0000b2736d88028a85c771f37374c8ea
The Christmas Song (Merry Christmas To You),Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",86,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri René and His Orchestra",Heavenly Eartha,"torch song, man's orchestra, vocal jazz",84,False,https://i.scdn.co/image/ab67616d0000b273cfbcba7cc35a40e08e5aff67
Deck The Hall,Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",85,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),"adult standards, jazz pop, lounge, canadian pop",87,False,https://i.scdn.co/image/ab67616d0000b273119e4094f07a8123b471ac1d
Holly Jolly Christmas,Michael Bublé,Christmas (Deluxe Special Edition),"adult standards, jazz pop, lounge, canadian pop",86,False,https://i.scdn.co/image/ab67616d0000b273119e4094f07a8123b471ac1d
Joy To The World,Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",81,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
Christmas Time Is Here,Vince Guaraldi Trio,Charlie Brown Holiday Hits,jazz trio,78,False,https://i.scdn.co/image/ab67616d0000b273a1c6bc83f5404947ffb87891
Frosty The Snowman,Ella Fitzgerald,Ella Wishes You A Swinging Christmas (Expanded Edition),"adult standards, soul, swing, jazz blues, vocal jazz, jazz",81,False,https://i.scdn.co/image/ab67616d0000b27356849c42c652a7e4025fd6eb
Christmas Time Is Here - Vocal,Vince Guaraldi Trio,A Charlie Brown Christmas [2012 Remastered & Expanded Edition],jazz trio,80,False,https://i.scdn.co/image/ab67616d0000b273644aec058f5a108fac6ec0fb
Sleigh Ride,Ella Fitzgerald,Ella Wishes You A Swinging Christmas (Expanded Edition),"adult standards, soul, swing, jazz blues, vocal jazz, jazz",80,False,https://i.scdn.co/image/ab67616d0000b27356849c42c652a7e4025fd6eb
"Baby, It's Cold Outside",Dean Martin,A Winter Romance,"adult standards, easy listening, lounge, vocal jazz",79,False,https://i.scdn.co/image/ab67616d0000b2736d88028a85c771f37374c8ea
Silver Bells,Dean Martin,The Dean Martin Christmas Album,"adult standards, easy listening, lounge, vocal jazz",79,False,https://i.scdn.co/image/ab67616d0000b273c7a9f0ea9b8bec1861217321
